Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,,
40613,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Observation,2022-03-22,,,,public,2022-03-22,Place Enquiry : while adding additional parameter if we click on back button then blank box is displayed below submit button,new,open,,,
40595,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Bug,2022-03-22,,,,public,2022-03-22,Generate Offer : if user is not have active net connection and try to submit offer then no response receive from system,new,open,,,
40592,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Observation,2022-03-22,,,,public,2022-03-22,"offer creation : while offer creation if we add additional parameter and submit offer then getting error as "" Tokenparam inserti",new,open,,,
40556,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Bug,2022-03-21,,,,public,2022-03-21,While adding additional parameter during order entry if we added large text then it not getting display to buyer and after relog,new,open,,,
40554,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Observation,2022-03-21,,,,public,2022-03-21,Quality of image uploaded is getting reduced as buyer downloads the image uploaded during offer creation.,new,open,,,
40545,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Bug,2022-03-21,,,,public,2022-03-21,"If user download and view second, third video and take back then redirected to first video.",new,open,,,
40544,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Observation,2022-03-21,,,,public,2022-03-21,observation : User should be able to view preview of video as of now it only showing download option.,new,open,,,
39471,KRISHIVED android,yasht,,normal,major,always,,Bug,2022-02-18,,,,public,2022-03-07,only single offer and only single enquiry is getting displayed in public watch.(random issue),closed,open,,,
39455,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-17,,,,public,2022-02-18,"Observation - If language selected is Hindi, on create trading acc screen, in basic details ,ट्रेडिंग खाता आईडी  is getting disp",deployed_in_uat,open,,,
39365,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-14,,,,public,2022-02-18,"Selected language is Hindi but on refresh, it is taking English language.",deployed_in_uat,open,,,
